frame_number,person_center_x,person_center_y,person_velocity,person_intersection,vehicle_center_x,vehicle_center_y,vehicle_velocity,vehicle_intersection
2951.0,635.4286,689.5714,2.8937774,42,1163.73,748.29,24.005625,550
2952.0,638.9167,691.0833,3.8016677,42,1172.0898,747.97754,8.3657,837
2953.0,635.1,690.4,3.8773923,60,1163.9719,754.09344,10.163903,1257
2954.0,630.7778,685.6667,6.4098315,33,1147.7319,747.40204,17.564516,1809
2955.0,620.129,690.5806,11.727853,56,1156.0471,753.48114,10.300378,2380
2956.0,625.4483,667.0345,24.139502,102,1127.7981,751.6442,28.308683,2823
2957.0,626.25,682.05,15.03689,87,1137.0938,753.3125,9.444169,3586
2958.0,614.86664,683.6667,11.497594,106,1122.6818,755.9727,14.655447,4325
2959.0,605.0455,692.25,13.043335,128,1120.3715,761.7714,6.241994,5400
2960.0,607.6667,694.0,3.1517093,118,1084.74,758.34,35.796314,6113
2961.0,604.85455,684.0,10.387882,117,1101.085,751.8396,17.590157,6863
2962.0,604.0961,691.0961,7.1365447,117,1090.5918,752.4796,10.512665,7700
2963.0,599.1702,692.80853,5.2150598,117,1088.448,764.832,12.537008,8814
2964.0,594.625,694.875,4.9929323,107,1063.1282,766.53845,25.377266,9935
2965.0,596.44446,692.3333,3.1257958,96,1070.0238,772.8333,9.336755,11129
2966.0,598.0526,702.6842,10.475071,97,1045.862,760.13794,27.293999,12473
2967.0,363.42105,711.3684,38.431366,438,1049.819,760.88794,4.0273604,13959
2968.0,399.30435,720.73914,37.08668,847,1022.225,757.75,27.771841,15233
2969.0,421.85455,702.7636,28.838015,1043,1011.07825,769.3826,16.111103,16629
2970.0,466.89474,717.5263,47.39785,1181,1008.35596,773.72034,5.121188,18195
2971.0,491.71155,703.38464,28.563269,1036,973.875,771.0,34.5881,19801
2972.0,526.1111,714.94446,36.28991,953,990.6047,772.4651,16.793705,20491
2973.0,548.6539,725.8269,25.032076,2576,988.1102,763.2756,9.52205,21026
2974.0,575.25,720.0682,27.212444,2514,941.5714,771.8571,47.323402,22245
2982.0,564.5769,685.8461,26.682058,26,844.29877,791.21344,9.353735,29729
2983.0,557.5455,698.1818,14.198957,194,810.95544,789.4968,33.38748,31005
2984.0,557.46,693.78,4.4026237,63,810.0843,781.11237,8.429596,31442
2985.0,554.34784,680.6087,13.534013,25,801.0968,777.50323,9.68508,32181
3015.0,519.7778,673.44446,5.545781,25,952.94116,838.9916,14.324416,6797
3016.0,522.0,671.15625,3.1897018,99,942.07825,832.2261,12.797459,6719
3017.0,517.59375,678.65625,8.6985655,93,935.0642,846.5505,15.949458,6602
3018.0,520.5,688.14703,9.925788,111,908.37695,842.4231,27.004536,6698
3019.0,519.0,700.0,11.947502,120,897.75,835.4013,12.737255,6944
3020.0,520.7143,703.2857,3.706031,120,886.6667,840.1778,12.068748,7042
3021.0,523.1613,697.74194,6.059803,75,867.94965,841.2518,18.747828,7246
3022.0,520.9091,692.1818,5.9989433,66,860.16925,855.2077,15.978191,7272
3023.0,524.0769,689.53845,4.1258063,66,842.59283,845.5714,20.044662,7706
3024.0,520.9091,692.4545,4.3056207,66,821.98065,855.8516,23.033558,7999
3025.0,520.9091,692.7273,0.2727661,66,797.65466,858.0863,24.428415,7724
3026.0,524.71875,700.40625,8.572027,90,789.9655,853.81036,8.798105,7896
3027.0,523.3929,698.8929,2.0120142,90,772.26624,863.2013,20.03632,7638
3028.0,524.129,700.8387,2.0803967,99,746.32367,856.7688,26.728146,7399
3029.0,521.6539,702.11536,2.785014,99,724.7843,871.3333,26.001335,7074
3030.0,521.1111,710.0,7.903304,111,720.12573,857.80237,14.310442,6828
3031.0,521.1724,699.2069,10.793265,108,688.1539,874.4176,36.03146,6702
3032.0,520.44446,698.55554,0.9768389,108,666.0,867.6416,23.166962,5864
3033.0,520.44446,698.55554,0.0,108,642.6089,876.4604,24.998302,5530
3034.0,522.0968,705.0968,6.7467265,99,615.0609,880.41626,27.830555,5011
3035.0,522.09375,701.34375,3.753053,62,599.7062,880.3763,15.354789,3887
3036.0,1181.85,976.425,9.868407,596,571.478,892.39026,30.678398,2705
3037.0,1199.3448,978.2069,17.585386,866,550.0379,892.6635,21.441866,2254
3038.0,1204.8276,975.0,6.3517895,2159,530.7162,899.3378,20.441998,1737
3039.0,1204.6737,980.49475,5.4969068,2416,496.31415,903.2522,34.624016,1065
3040.0,1220.1646,971.6962,17.81517,2517,464.6611,902.58575,31.66006,732
3041.0,1238.2297,967.7432,18.492624,2708,1112.25,722.1667,7.1582036,502
3042.0,1231.6753,979.24677,13.239795,2770,1099.6974,730.6184,15.132735,709
3043.0,1236.6857,972.34283,8.530423,2829,1090.5,723.95123,11.359716,893
3044.0,1254.4865,975.2838,18.042093,2896,1076.4512,736.7195,18.984144,1037
3045.0,1255.5195,968.026,7.3309684,2988,1056.24,735.24,20.26526,1272
3046.0,1268.64,966.48,13.211255,3097,1047.8889,747.1852,14.57491,1603
3047.0,1261.2794,972.17645,9.307425,4173,1042.6957,734.413,13.787591,2239
3048.0,1272.8961,963.7013,14.379709,4561,1039.48,724.08,10.821819,2656
3049.0,1268.5281,963.0,4.4239807,4948,1023.5934,723.1978,15.911073,3216
3050.0,1278.8966,954.2759,13.550524,6238,1023.66174,753.2206,30.022844,3799
3051.0,1275.6075,949.6709,5.6589556,6796,1010.5301,747.0,14.530518,4688
3052.0,1284.6951,951.03656,9.189567,8177,995.8261,735.73914,18.52064,5593
3053.0,1292.5714,943.5714,10.851969,8487,989.1,758.775,23.997772,6742
3054.0,1297.076,949.2717,7.265355,8691,974.2258,750.8226,16.866587,7698
3055.0,1298.0,946.9655,2.4844122,8699,967.275,756.075,8.712166,8495
3056.0,1307.25,944.55,9.560192,8738,952.8387,751.0645,15.281133,9557
3057.0,1308.9512,946.8293,2.8441484,8673,927.9,757.9,25.858479,10896
3058.0,1306.7922,936.62335,10.431782,8699,940.20734,771.0,17.974407,11942
